"name_cell" "origin_space"
"656" "SS.sc7786159" "Caudal"
"657" "SS.sc7786623" "Rostral"
"658" "SS.sc7785436" "Rostral"
"659" "SS.sc7785933" "Caudal"
"660" "SS.sc7786143" "Caudal"
"661" "SS.sc7786166" "Caudal"
"662" "SS.sc7786297" "Caudal"
"663" "SS.sc7785429" "Yolk Sac"
"664" "SS.sc7785637" "Rostral"
"665" "SS.sc7788052" "Caudal"
"666" "SS.sc7786534" "Rostral"
"667" "SS.sc7785506" "Yolk Sac"
"668" "SS.sc7788267" "Caudal"
"669" "SS.sc7785561" "Rostral"
"670" "SS.sc7786760" "Rostral"
"671" "SS.sc7785328" "Yolk Sac"
"672" "SS.sc7785289" "Yolk Sac"
"673" "SS.sc7785559" "Rostral"
"674" "SS.sc7786199" "Caudal"
"675" "SS.sc7786538" "Rostral"
"676" "SS.sc7785358" "Yolk Sac"
"677" "SS.sc7786736" "Rostral"
"678" "SS.sc7786169" "Caudal"
"679" "SS.sc7786175" "Caudal"
